title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_year,genre_encoded,console_encoded,publisher_encoded,metascore,userscore,total_sales_scaled,metascore_scaled,userscore_scaled,combined_score,success_combined
madden nfl 08,Ps3,Sports,Ea Sports,Ea Tiburon,7.3,0.97,0.89,0.0,0.01,0.08,2007.0,17,22,167,85.0,82.0,0.04773622047244094,0.8354430379746836,0.845360824742268,0.36529839416523413,1
brutal legend,X360,Action,Electronic Arts,Double Fine Productions,8.5,0.97,0.62,0.0,0.26,0.09,2009.0,0,35,178,82.0,77.0,0.04773622047244094,0.7974683544303798,0.7938144329896907,0.3467155936954442,1
band hero,Wii,Misc,Activision,Vicarious Visions,7.4,0.97,0.59,0.0,0.29,0.09,2009.0,6,31,23,76.0,52.0,0.04773622047244094,0.7215189873417721,0.5360824742268041,0.2708901989414314,0
ea sports ufc 3,Ps4,Sports,Ea Sports,Ea Vancouver,7.3,0.97,0.4,0.01,0.41,0.16,2018.0,17,23,167,75.0,44.0,0.04773622047244094,0.7088607594936709,0.4536082474226804,0.2483729080631853,0
grand theft auto: vice city stories,Ps2,Action,Rockstar Games,Rockstar Leeds,7.3,0.97,0.78,0.03,0.03,0.13,2007.0,0,21,552,86.0,82.0,0.04773622047244094,0.8481012658227848,0.845360824742268,0.3671971283424493,1
fifa soccer 2005,Xb,Sports,Ea Sports,Ea Canada,7.3,0.97,0.33,0.0,0.6,0.04,2004.0,17,36,167,81.0,59.0,0.04773622047244094,0.7848101265822784,0.6082474226804123,0.2984251069409094,1
skylanders: spyro's adventure,X360,Action,Activision,Toys For Bob,7.3,0.97,0.53,0.0,0.34,0.1,2011.0,0,35,23,78.0,64.0,0.04773622047244094,0.7468354430379747,0.6597938144329897,0.3056155023474082,1
lego star wars ii: the original trilogy,Gc,Action,Lucasarts,Traveller'S Tales,8.4,0.97,0.75,0.0,0.19,0.03,2006.0,0,8,369,81.0,79.0,0.04773622047244094,0.7848101265822784,0.8144329896907216,0.34997149869348676,1
sea of thieves,Xone,Action-Adventure,Microsoft Studios,Rare Ltd.,6.9,0.96,0.6,0.0,0.27,0.09,2018.0,1,38,411,69.0,56.0,0.047244094488188976,0.6329113924050633,0.5773195876288659,0.26761306246088934,0
lego pirates of the caribbean: the video game,Ps3,Action,Disney Interactive Studios,Traveller'S Tales,7.4,0.96,0.36,0.0,0.44,0.16,2011.0,0,22,154,73.0,73.0,0.047244094488188976,0.6835443037974683,0.7525773195876289,0.3190224321594408,1
nhl 2001,Ps2,Sports,Ea Sports,Ea Canada,7.3,0.96,0.47,0.0,0.37,0.12,2000.0,17,21,167,90.0,63.0,0.047244094488188976,0.8987341772151899,0.6494845360824743,0.3255277172958104,1
madden nfl 25,Ps4,Sports,Ea Sports,Ea Tiburon,7.4,0.96,0.64,0.0,0.15,0.17,2013.0,17,23,167,70.0,31.0,0.047244094488188976,0.6455696202531646,0.31958762886597936,0.2050788069473829,0
south park: the stick of truth,X360,Role-Playing,Ubisoft,Obsidian Entertainment,7.3,0.96,0.6,0.0,0.27,0.09,2014.0,13,35,685,85.0,85.0,0.047244094488188976,0.8354430379746836,0.8762886597938144,0.3727350773375695,1
mass effect 3,Pc,Role-Playing,Electronic Arts,Bioware,7.3,0.96,0.4,0.0,0.45,0.11,2012.0,13,17,178,93.0,63.0,0.047244094488188976,0.9367088607594937,0.6494845360824743,0.331223919827456,1
sonic & sega all-stars racing,Ps3,Racing,Sega,Sumo Digital,8.0,0.96,0.36,0.0,0.44,0.16,2010.0,12,22,566,75.0,83.0,0.047244094488188976,0.7088607594936709,0.8556701030927835,0.3485930963901599,1
tom clancy's ghost recon: future soldier,Ps3,Shooter,Ubisoft,Ubisoft Paris,7.3,0.96,0.41,0.09,0.33,0.13,2012.0,15,22,685,79.0,73.0,0.047244094488188976,0.759493670886076,0.7525773195876289,0.330414837222732,1
mortal kombat: deadly alliance,Xb,Fighting,Midway Games,Midway,7.3,0.96,0.77,0.0,0.15,0.04,2002.0,5,36,413,79.0,73.0,0.047244094488188976,0.759493670886076,0.7525773195876289,0.330414837222732,1
dark cloud 2,Ps2,Role-Playing,Sony Computer Entertainment,Level 5,8.6,0.96,0.38,0.26,0.25,0.07,2003.0,13,21,585,87.0,82.0,0.047244094488188976,0.8607594936708861,0.845360824742268,0.3688005869291133,1
guitar hero: warriors of rock,Wii,Misc,Activision,Vicarious Visions,7.3,0.96,0.47,0.0,0.41,0.09,2010.0,6,31,23,72.0,69.0,0.047244094488188976,0.6708860759493671,0.711340206185567,0.3068144196317102,1
pilotwings resort,3Ds,Simulation,Nintendo,Monster Games,6.9,0.96,0.4,0.13,0.36,0.07,2011.0,16,2,457,71.0,71.0,0.047244094488188976,0.6582278481012658,0.7319587628865979,0.3100703246297527,1
gangs of london,Psp,Adventure,Sony Computer Entertainment,Scee London Studio,5.0,0.96,0.3,0.0,0.43,0.22,2006.0,2,25,585,52.0,61.0,0.047244094488188976,0.4177215189873418,0.6288659793814433,0.24822117938637547,0
driver: san francisco,Ps3,Racing,Ubisoft,Ubisoft Reflections,8.2,0.95,0.24,0.01,0.53,0.17,2011.0,12,22,685,80.0,79.0,0.04675196850393701,0.7721518987341772,0.8144329896907216,0.34748221333516915,1
lost planet 2,Ps3,Shooter,Capcom,Capcom,6.6,0.95,0.29,0.2,0.34,0.12,2010.0,15,22,107,68.0,64.0,0.04675196850393701,0.620253164556962,0.6597938144329897,0.2860376093941539,0
lego harry potter: years 5-7,Ps3,Action,Warner Bros. Interactive,Traveller'S Tales,9.0,0.95,0.36,0.0,0.45,0.15,2011.0,0,22,717,77.0,76.0,0.04675196850393701,0.7341772151898734,0.7835051546391752,0.33405405204063704,1
espn nba 2k5,Xb,Sports,Sega,Visual Concepts,7.3,0.95,0.88,0.0,0.04,0.04,2004.0,17,36,566,85.0,56.0,0.04675196850393701,0.8354430379746836,0.5773195876288659,0.2976975337057812,1
tom clancy's splinter cell: chaos theory,Ps2,Adventure,Ubisoft,Ubisoft Montreal / Annecy,7.3,0.95,0.36,0.0,0.45,0.14,2005.0,2,21,685,94.0,85.0,0.04675196850393701,0.9493670886075949,0.8762886597938144,0.38952840934195504,1
sonic unleashed,X360,Platform,Sega,Sonic Team,5.6,0.95,0.54,0.0,0.32,0.09,2008.0,10,35,566,60.0,86.0,0.04675196850393701,0.5189873417721519,0.8865979381443299,0.3275487669042675,1
spongebob squarepants: battle for bikini bottom,Gc,Platform,Thq,Heavy Iron Studios,7.3,0.95,0.74,0.0,0.19,0.03,2003.0,10,8,657,71.0,83.0,0.04675196850393701,0.6582278481012658,0.8556701030927835,0.3407028840907479,1
kessen,Ps2,Strategy,Electronic Arts,Koei,7.3,0.95,0.27,0.41,0.21,0.07,2000.0,18,21,178,75.0,81.0,0.04675196850393701,0.7088607594936709,0.8350515463917526,0.343143181624351,1
harvest moon 3d: a new beginning,3Ds,Simulation,Natsume,Marvelous,8.2,0.95,0.41,0.31,0.18,0.06,2012.0,16,2,438,74.0,77.0,0.04675196850393701,0.6962025316455697,0.7938144329896907,0.33093516909662035,1
lego batman 3: beyond gotham,Ps4,Action,Warner Bros. Interactive Entertainment,Traveller'S Tales,7.3,0.94,0.37,0.0,0.42,0.16,2014.0,0,23,718,73.0,70.0,0.046259842519685034,0.6835443037974683,0.7216494845360825,0.31069992221545184,1
brothers in arms: hell's highway,Ps3,Shooter,Ubisoft,Gearbox Software,6.0,0.94,0.45,0.0,0.34,0.15,2008.0,15,22,685,76.0,73.0,0.046259842519685034,0.7215189873417721,0.7525773195876289,0.324128083509984,1
hot shots golf fore!,Ps2,Sports,Sony Computer Entertainment,Clap Hanz,7.3,0.94,0.46,0.0,0.36,0.12,2004.0,17,21,585,80.0,85.0,0.046259842519685034,0.7721518987341772,0.8762886597938144,0.3626508552703912,1
mlb 06: the show,Ps2,Sports,Sony Computer Entertainment,Scea San Diego Studios,7.3,0.94,0.78,0.0,0.03,0.13,2006.0,17,21,585,83.0,73.0,0.046259842519685034,0.810126582278481,0.7525773195876289,0.3374192227504904,1
mvp baseball 2005,Xb,Sports,Ea Sports,Ea Canada,7.3,0.94,0.7,0.0,0.2,0.03,2005.0,17,36,167,86.0,0.0,0.046259842519685034,0.8481012658227848,0.0,0.1549710953852287,0
nba 2k14,Xone,Sports,2K Sports,Visual Concepts,7.3,0.94,0.72,0.0,0.12,0.09,2013.0,17,38,7,84.0,55.0,0.046259842519685034,0.8227848101265823,0.5670103092783505,0.29292620435038597,1
ncaa football 10,X360,Sports,Ea Sports,Ea Tiburon,8.1,0.94,0.87,0.0,0.0,0.07,2009.0,17,35,167,83.0,77.0,0.046259842519685034,0.810126582278481,0.7938144329896907,0.34772850110100584,1
the sims 2,Ds,Simulation,Electronic Arts,Maxis,7.3,0.94,0.81,0.0,0.05,0.07,2005.0,16,4,178,90.0,84.0,0.046259842519685034,0.8987341772151899,0.865979381443299,0.37906087745491424,1
ea sports active 2,Ps3,Sports,Electronic Arts,Ea Vancouver,8.0,0.94,0.54,0.0,0.27,0.12,2010.0,17,22,178,68.0,63.0,0.046259842519685034,0.620253164556962,0.6494845360824743,0.2831650142159739,0
colin mcrae rally 04,Ps2,Racing,Codemasters,Codemasters,7.3,0.94,0.01,0.01,0.71,0.21,2003.0,12,21,118,84.0,83.0,0.046259842519685034,0.8227848101265823,0.8556701030927835,0.36509115280399423,1
wwe smackdown vs. raw 2009,Ps3,Fighting,Thq,Yuke'S Media Creations,7.3,0.94,0.51,0.01,0.3,0.12,2008.0,5,22,657,79.0,72.0,0.046259842519685034,0.759493670886076,0.7422680412371134,0.32724696645400075,1
destroy all humans!,Ps2,Adventure,Thq,Pandemic Studios,7.3,0.94,0.78,0.0,0.03,0.13,2005.0,2,21,657,70.0,77.0,0.046259842519685034,0.6455696202531646,0.7938144329896907,0.32304495679720835,1
the spongebob squarepants movie,Gc,Platform,Thq,Heavy Iron Studios,6.6,0.94,0.73,0.0,0.19,0.03,2004.0,10,8,657,74.0,74.0,0.046259842519685034,0.6962025316455697,0.7628865979381443,0.3229079347431825,1
prince of persia: the sands of time,Xb,Adventure,Ubisoft,Ubisoft Montreal,9.0,0.94,0.57,0.0,0.33,0.04,2003.0,2,36,685,92.0,86.0,0.046259842519685034,0.9240506329113924,0.8865979381443299,0.38801298498460235,1
castlevania: lament of innocence,Ps2,Action,Konami,Konami Computer Entertainment Tokyo,8.1,0.94,0.46,0.0,0.36,0.12,2003.0,0,21,353,79.0,85.0,0.046259842519685034,0.759493670886076,0.8762886597938144,0.360752121093176,1
brutal legend,Ps3,Action,Electronic Arts,Double Fine Productions,7.9,0.94,0.54,0.0,0.27,0.13,2009.0,0,22,178,82.0,77.0,0.046259842519685034,0.7974683544303798,0.7938144329896907,0.34582976692379064,1
skylanders: spyro's adventure,Ps3,Action,Activision,Toys For Bob,8.0,0.94,0.39,0.0,0.4,0.15,2011.0,0,22,23,78.0,64.0,0.046259842519685034,0.7468354430379747,0.6597938144329897,0.30472967557575464,1
borderlands 2,Pc,Shooter,2K Games,Gearbox Software,7.3,0.94,0.43,0.0,0.42,0.09,2012.0,15,17,5,89.0,82.0,0.046259842519685034,0.8860759493670886,0.845360824742268,0.3720075041024413,1
lego batman 3: beyond gotham,X360,Action,Warner Bros. Interactive Entertainment,Traveller'S Tales,7.3,0.94,0.48,0.0,0.37,0.08,2014.0,0,35,718,73.0,70.0,0.046259842519685034,0.6835443037974683,0.7216494845360825,0.31069992221545184,1
ncaa football 11,X360,Sports,Ea Sports,Ea Tiburon,8.5,0.93,0.86,0.0,0.0,0.06,2010.0,17,35,167,86.0,75.0,0.04576771653543307,0.8481012658227848,0.7731958762886598,0.3479747888668425,1
ncaa football 13,Ps3,Sports,Ea Sports,Ea Tiburon,7.1,0.93,0.82,0.0,0.0,0.11,2012.0,17,22,167,76.0,59.0,0.04576771653543307,0.7215189873417721,0.6082474226804123,0.2877503336926287,0
jak and daxter collection,Ps3,Platform,Sony Computer Entertainment,Naughty Dog,7.3,0.93,0.6,0.0,0.18,0.15,2012.0,10,22,585,81.0,87.0,0.04576771653543307,0.7848101265822784,0.8969072164948454,0.3694089530323129,1
fallout 76,Xone,Role-Playing,Bethesda Softworks,Bethesda Game Studios,5.1,0.93,0.59,0.0,0.26,0.09,2018.0,13,38,87,52.0,29.0,0.04576771653543307,0.4177215189873418,0.29896907216494845,0.16486112581059822,0
lego the lord of the rings,Wii,Misc,Warner Bros. Interactive Entertainment,Unknown,7.3,0.93,0.48,0.0,0.37,0.08,2012.0,6,31,718,80.0,79.0,0.04576771653543307,0.7721518987341772,0.8144329896907216,0.34689166215406686,1
monster hunter: world,Xone,Action,Capcom,Capcom,9.4,0.93,0.67,0.0,0.17,0.09,2018.0,0,38,107,90.0,78.0,0.04576771653543307,0.8987341772151899,0.8041237113402062,0.3633016843385899,1
nhl 2003,Ps2,Sports,Ea Sports,Ea Canada,7.3,0.93,0.46,0.0,0.36,0.12,2002.0,17,21,167,79.0,77.0,0.04576771653543307,0.759493670886076,0.7938144329896907,0.3398382888015939,1
operation flashpoint: dragon rising,X360,Shooter,Codemasters,Codemasters,7.4,0.93,0.36,0.02,0.45,0.1,2009.0,15,35,118,77.0,62.0,0.04576771653543307,0.7341772151898734,0.6391752577319587,0.2973810266327305,1
singstar abba,Ps3,Misc,Sony Computer Entertainment,Scee London Studio,7.3,0.93,0.27,0.0,0.51,0.16,2008.0,6,22,585,70.0,0.0,0.04576771653543307,0.6455696202531646,0.0,0.12429607295923453,0
tony hawk's pro skater 4,Xb,Sports,Activision,Neversoft Entertainment,7.3,0.93,0.59,0.0,0.3,0.04,2002.0,17,36,23,94.0,82.0,0.04576771653543307,0.9493670886075949,0.845360824742268,0.38120589939796606,1
mlb 12: the show,Ps3,Sports,Sony Computer Entertainment America,Sce San Diego Studio,7.3,0.93,0.86,0.0,0.0,0.07,2012.0,17,22,586,87.0,80.0,0.04576771653543307,0.8607594936708861,0.8247422680412371,0.362760120982202,1
phoenix wright: ace attorney,Ds,Adventure,Capcom,Capcom,8.1,0.93,0.44,0.39,0.05,0.05,2005.0,2,4,107,81.0,89.0,0.04576771653543307,0.7848101265822784,0.9175257731958762,0.37456359220757063,1
mlb 07: the show,Ps2,Sports,Sony Computer Entertainment,Sce San Diego Studio,7.3,0.93,0.77,0.0,0.03,0.13,2007.0,17,21,585,77.0,52.0,0.04576771653543307,0.7341772151898734,0.5360824742268041,0.2716078307564419,0
fifa street (2012),X360,Sports,Ea Sports,Ea Canada,7.3,0.93,0.21,0.0,0.63,0.1,2012.0,17,35,167,77.0,69.0,0.04576771653543307,0.7341772151898734,0.711340206185567,0.3154222637461326,1
kingdom hearts re:coded,Ds,Role-Playing,Square Enix,High Horse Entertainment,6.8,0.93,0.53,0.27,0.09,0.05,2011.0,13,4,601,66.0,65.0,0.04576771653543307,0.5949367088607594,0.6701030927835051,0.28422690944625006,0
bayonetta,X360,Action,Sega,Platinumgames,8.9,0.93,0.51,0.09,0.25,0.08,2010.0,0,35,566,90.0,82.0,0.04576771653543307,0.8987341772151899,0.845360824742268,0.3736109626891053,1
guitar hero: metallica,Wii,Misc,Activision,Budcat Creations,8.9,0.93,0.4,0.0,0.43,0.1,2009.0,6,31,23,84.0,83.0,0.04576771653543307,0.8227848101265823,0.8556701030927835,0.3647958772134431,1
xenoblade chronicles,Wii,Role-Playing,Nintendo,Monolith Soft,9.3,0.92,0.43,0.16,0.25,0.07,2012.0,13,31,457,86.0,84.0,0.045275590551181105,0.8481012658227848,0.865979381443299,0.37087538956495114,1
buzz! quiz world,Ps3,Misc,Sony Computer Entertainment,Magenta Software,7.8,0.92,0.16,0.0,0.58,0.18,2009.0,6,22,585,80.0,77.0,0.045275590551181105,0.7721518987341772,0.7938144329896907,0.34144174738825794,1
blue dragon,X360,Role-Playing,Microsoft Game Studios,Mistwalker Corporation / Artoon,7.7,0.92,0.3,0.21,0.33,0.08,2007.0,13,35,410,79.0,79.0,0.045275590551181105,0.759493670886076,0.8144329896907216,0.34469765238630046,1
killzone: mercenary,Psv,Misc,Sony Computer Entertainment America,Guerrilla Games,7.4,0.92,0.2,0.04,0.47,0.2,2013.0,6,26,586,78.0,88.0,0.045275590551181105,0.7468354430379747,0.9072164948453608,0.3659947944977451,1
starsky & hutch,Ps2,Racing,Gotham Games,Minds-Eye Productions,6.0,0.92,0.45,0.0,0.35,0.12,2003.0,12,21,256,58.0,0.0,0.045275590551181105,0.4936708860759494,0.0,0.10121598724210107,0
far cry 3,Pc,Shooter,Ubisoft,Ubisoft Montreal,7.3,0.92,0.22,0.0,0.64,0.06,2012.0,15,17,685,88.0,84.0,0.045275590551181105,0.8734177215189873,0.865979381443299,0.37467285791938154,1
dante's inferno,X360,Action,Electronic Arts,Visceral Games,7.0,0.92,0.63,0.02,0.2,0.08,2010.0,0,35,178,73.0,76.0,0.045275590551181105,0.6835443037974683,0.7835051546391752,0.3255732885601227,1
sonic riders,Gc,Racing,Sega,Sonic Team,7.3,0.92,0.71,0.0,0.18,0.03,2006.0,12,8,566,55.0,80.0,0.045275590551181105,0.45569620253164556,0.8247422680412371,0.30170535172076474,1
wwe smackdown vs. raw 2009,X360,Fighting,Thq,Yuke'S Media Creations,7.8,0.92,0.58,0.0,0.26,0.08,2008.0,5,35,657,79.0,72.0,0.045275590551181105,0.759493670886076,0.7422680412371134,0.3266564152728984,1
ncaa football 14,Ps3,Sports,Ea Sports,Ea Tiburon,7.7,0.92,0.75,0.0,0.0,0.17,2013.0,17,22,167,77.0,64.0,0.045275590551181105,0.7341772151898734,0.6597938144329897,0.3022403902174371,1
crysis 3,X360,Shooter,Electronic Arts,Crytek,7.6,0.92,0.51,0.01,0.32,0.08,2013.0,15,35,178,76.0,68.0,0.045275590551181105,0.7215189873417721,0.7010309278350515,0.3106509343907373,1
ssx,Ps3,Sports,Ea Sports,Ea Canada,7.3,0.92,0.35,0.02,0.42,0.13,2012.0,17,22,167,82.0,65.0,0.045275590551181105,0.7974683544303798,0.6701030927835051,0.3143113806911419,1
spongebob squarepants: the yellow avenger,Psp,Action,Thq,Tantalus Interactive,5.7,0.92,0.55,0.0,0.21,0.16,2006.0,0,25,657,48.0,49.0,0.045275590551181105,0.3670886075949367,0.5051546391752577,0.2085173052637636,0
007: the world is not enough,Ps,Shooter,Electronic Arts,Black Ops Entertainment,6.4,0.92,0.51,0.0,0.35,0.06,2000.0,15,20,178,81.0,78.0,0.045275590551181105,0.7848101265822784,0.8041237113402062,0.345917801153102,1
overwatch,Pc,Shooter,Blizzard Entertainment,Blizzard Entertainment,9.5,0.92,0.37,0.0,0.48,0.07,2016.0,15,17,97,91.0,65.0,0.045275590551181105,0.9113924050632911,0.6701030927835051,0.3313999882860786,1
operation flashpoint: dragon rising,Ps3,Shooter,Codemasters,Codemasters,7.3,0.91,0.23,0.05,0.46,0.17,2009.0,15,22,118,77.0,62.0,0.04478346456692914,0.7341772151898734,0.6391752577319587,0.2967904754516282,1
street hoops,Ps2,Sports,Activision,Black Ops Entertainment,7.3,0.91,0.45,0.0,0.35,0.12,2002.0,17,21,23,58.0,50.0,0.04478346456692914,0.4936708860759494,0.5154639175257731,0.22978669103299318,0
namco museum,Xb,Misc,Namco,Mass Media,7.3,0.91,0.77,0.0,0.11,0.04,2002.0,6,36,435,72.0,74.0,0.04478346456692914,0.6708860759493671,0.7628865979381443,0.3182246396170986,1
lego pirates of the caribbean: the video game,Ds,Action,Disney Interactive Studios,Traveller'S Tales,6.8,0.91,0.34,0.0,0.47,0.1,2011.0,0,4,154,73.0,73.0,0.04478346456692914,0.6835443037974683,0.7525773195876289,0.3175460542066849,1
dynasty warriors 7,Ps3,Action,Tecmo Koei,Omega Force,5.8,0.91,0.25,0.46,0.14,0.06,2011.0,0,22,644,57.0,73.0,0.04478346456692914,0.4810126582278481,0.7525773195876289,0.28716630737124194,0
sonic riders: zero gravity,Wii,Racing,Sega,Sonic Team,5.8,0.91,0.48,0.02,0.32,0.09,2008.0,12,31,566,56.0,79.0,0.04478346456692914,0.46835443037974683,0.8144329896907216,0.30073149071979993,1
tom clancy's endwar,X360,Strategy,Ubisoft,Ubisoft Shanghai,8.0,0.91,0.58,0.01,0.24,0.09,2008.0,18,35,685,77.0,74.0,0.04478346456692914,0.7341772151898734,0.7628865979381443,0.32771831050317457,1
tokyo xtreme racer 3,Ps2,Racing,Crave Entertainment,Genki,7.3,0.91,0.35,0.21,0.27,0.09,2003.0,12,21,128,63.0,77.0,0.04478346456692914,0.5569620253164557,0.7938144329896907,0.3088679907850485,1
assassin's creed,Pc,Adventure,Ubisoft,Ubisoft Montreal,7.6,0.91,0.01,0.0,0.84,0.06,2008.0,2,17,685,81.0,73.0,0.04478346456692914,0.7848101265822784,0.7525773195876289,0.33273592762440646,1
sonic mega collection plus,Xb,Misc,Sega,Sonic Team,7.3,0.91,0.61,0.0,0.26,0.04,2004.0,6,36,566,73.0,85.0,0.04478346456692914,0.6835443037974683,0.8762886597938144,0.3484738892582313,1
crysis 3,Ps3,Shooter,Electronic Arts,Crytek,8.2,0.91,0.26,0.03,0.48,0.14,2013.0,15,22,178,76.0,68.0,0.04478346456692914,0.7215189873417721,0.7010309278350515,0.3103556588001862,1
mx vs. atv reflex,Ps3,Racing,Thq,Rainbow Studios,7.3,0.91,0.52,0.0,0.26,0.13,2009.0,12,22,657,75.0,66.0,0.04478346456692914,0.7088607594936709,0.6804123711340206,0.30330228544771326,1
knockout kings 2002,Ps2,Sports,Ea Sports,Black Ops Entertainment,7.3,0.91,0.45,0.0,0.35,0.12,2002.0,17,21,167,76.0,0.0,0.04478346456692914,0.7215189873417721,0.0,0.1350979268414233,0
socom 4: u.s. navy seals,Ps3,Shooter,Sony Computer Entertainment,Zipper Interactive,7.0,0.9,0.66,0.04,0.12,0.09,2011.0,15,22,585,67.0,64.0,0.04429133858267716,0.6075949367088608,0.6597938144329897,0.2826624972641828,0
marvel: ultimate alliance 2,X360,Role-Playing,Activision,Vicarious Visions,7.4,0.9,0.68,0.0,0.15,0.08,2009.0,13,35,23,73.0,73.0,0.04429133858267716,0.6835443037974683,0.7525773195876289,0.31725077861613377,1
final fantasy x / x-2 hd remaster,Ps4,Role-Playing,Square Enix,Square Enix,9.3,0.9,0.34,0.07,0.36,0.14,2015.0,13,23,601,85.0,82.0,0.04429133858267716,0.8354430379746836,0.845360824742268,0.3632314650313758,1
the witcher 2: assassins of kings,X360,Role-Playing,Warner Bros. Interactive,Cd Projekt Red Studio,7.3,0.9,0.48,0.02,0.33,0.08,2012.0,13,35,717,88.0,82.0,0.04429133858267716,0.8734177215189873,0.845360824742268,0.3689276675630214,1
tiger woods pga tour 2002,Ps2,Sports,Ea Sports,Ea Sports,7.3,0.9,0.44,0.0,0.35,0.12,2002.0,17,21,167,80.0,0.0,0.04429133858267716,0.7721518987341772,0.0,0.14239758795973287,0
lost odyssey,X360,Role-Playing,Microsoft Game Studios,Mistwalker Corporation / Feelplus Inc.,7.5,0.9,0.45,0.11,0.26,0.08,2008.0,13,35,410,78.0,84.0,0.04429133858267716,0.7468354430379747,0.865979381443299,0.35509496496612725,1
x-men legends,Xb,Role-Playing,Activision,Raven Software,8.2,0.9,0.62,0.0,0.24,0.04,2004.0,13,36,23,82.0,74.0,0.04429133858267716,0.7974683544303798,0.7628865979381443,0.33691670579869937,1
homefront,Ps3,Shooter,Thq,Kaos Studios,6.6,0.9,0.32,0.04,0.4,0.15,2011.0,15,22,657,70.0,61.0,0.04429133858267716,0.6455696202531646,0.6288659793814433,0.28062674103294183,0
the biggest loser: ultimate workout,X360,Sports,Thq,Blitz Games,8.0,0.9,0.73,0.0,0.1,0.07,2010.0,17,35,657,68.0,0.0,0.04429133858267716,0.620253164556962,0.0,0.1196127778331506,0
james cameron's avatar: the game,Ps3,Action,Ubisoft,Ubisoft Montreal,5.8,0.9,0.32,0.0,0.43,0.15,2009.0,0,22,685,61.0,63.0,0.04429133858267716,0.5316455696202531,0.6494845360824743,0.26869277261326285,0
sonic heroes,Xb,Platform,Sega,Sonic Team,7.3,0.9,0.41,0.01,0.43,0.05,2004.0,10,36,566,72.0,77.0,0.04429133858267716,0.6708860759493671,0.7938144329896907,0.32566132278943405,1
lego indiana jones 2: the adventure continues,Ps3,Adventure,Lucasarts,Traveller'S Tales,7.3,0.9,0.47,0.0,0.3,0.13,2009.0,2,22,369,71.0,72.0,0.04429133858267716,0.6582278481012658,0.7422680412371134,0.3108759906740745,1
resistance: retribution,Psp,Shooter,Sony Computer Entertainment,Scea Bend Studio,8.0,0.9,0.27,0.05,0.36,0.22,2009.0,15,25,585,81.0,80.0,0.04429133858267716,0.7848101265822784,0.8247422680412371,0.3504818891472573,1
far cry 4,X360,Shooter,Ubisoft,Ubisoft Montreal,7.3,0.9,0.45,0.0,0.37,0.08,2014.0,15,35,685,85.0,77.0,0.04429133858267716,0.8354430379746836,0.7938144329896907,0.35034486709323154,1
burnout revenge,Ps2,Racing,Electronic Arts,Criterion Games,9.0,0.9,0.75,0.0,0.03,0.12,2005.0,12,21,178,89.0,89.0,0.04429133858267716,0.8860759493670886,0.9175257731958762,0.3888676388536386,1
spider-man 3,Ps2,Platform,Activision,Vicarious Visions,4.4,0.9,0.74,0.01,0.03,0.12,2007.0,10,21,23,63.0,63.0,0.04429133858267716,0.5569620253164557,0.6494845360824743,0.2724902409676932,0
james bond 007: agent under fire,Xb,Shooter,Electronic Arts,Ea Redwood Shores,7.3,0.9,0.65,0.0,0.22,0.03,2002.0,15,36,178,72.0,76.0,0.04429133858267716,0.6708860759493671,0.7835051546391752,0.3230840032018052,1
buzz! master quiz,Psp,Misc,Sony Computer Entertainment,Relentless Software,7.0,0.9,0.22,0.0,0.44,0.24,2008.0,6,25,585,68.0,0.0,0.04429133858267716,0.620253164556962,0.0,0.1196127778331506,0
dj hero,Ps3,Misc,Activision,Freestylegames,8.5,0.9,0.42,0.0,0.34,0.15,2009.0,6,22,23,84.0,72.0,0.04429133858267716,0.8227848101265823,0.7422680412371134,0.335559534977872,1
killzone: liberation,Psp,Shooter,Sony Computer Entertainment,Guerrilla Games,7.8,0.9,0.44,0.0,0.28,0.19,2006.0,15,25,585,77.0,74.0,0.04429133858267716,0.7341772151898734,0.7628865979381443,0.32742303491262337,1
harry potter: quidditch world cup,Ps2,Sports,Electronic Arts,Electronic Arts,7.3,0.9,0.44,0.0,0.34,0.11,2003.0,17,21,178,68.0,68.0,0.04429133858267716,0.620253164556962,0.7010309278350515,0.2948705097919135,1
nba live 2005,Xb,Sports,Ea Sports,Ea Canada,7.3,0.9,0.81,0.0,0.05,0.04,2004.0,17,36,167,85.0,0.0,0.04429133858267716,0.8354430379746836,0.0,0.15189125884580884,0
hot shots tennis,Ps2,Sports,Sony Computer Entertainment,Clap Hanz,7.3,0.9,0.17,0.55,0.13,0.05,2007.0,17,21,585,70.0,70.0,0.04429133858267716,0.6455696202531646,0.7216494845360825,0.3038226173216016,1
mlb 2005,Ps2,Sports,Sony Computer Entertainment,989 Sports,7.3,0.9,0.44,0.0,0.35,0.12,2004.0,17,21,585,78.0,0.0,0.04429133858267716,0.7468354430379747,0.0,0.1386001196053025,0
touchmaster 2,Ds,Puzzle,Midway Games,Midway Studios San Diego,7.3,0.89,0.3,0.0,0.49,0.1,2008.0,11,4,413,76.0,0.0,0.043799212598425195,0.7215189873417721,0.0,0.13450737566032092,0
resident evil: revelations,3Ds,Action,Capcom,Capcom,7.8,0.89,0.3,0.3,0.23,0.05,2012.0,0,2,107,82.0,82.0,0.043799212598425195,0.7974683544303798,0.845360824742268,0.3572399869091791,1
