title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_year,genre_encoded,console_encoded,publisher_encoded,metascore,userscore,total_sales_scaled,metascore_scaled,userscore_scaled,combined_score,success_combined
call of duty: infinite warfare,Ps4,Shooter,Activision,Infinity Ward,7.9,8.48,3.11,0.19,3.83,1.36,2016.0,15,23,23,77.0,43.0,0.4173228346456693,0.7341772151898734,0.44329896907216493,0.4713450253339238,1
fallout 4,Ps4,Role-Playing,Bethesda Softworks,Bethesda Game Studios,8.6,8.48,2.91,0.27,3.97,1.34,2015.0,13,23,87,87.0,70.0,0.4173228346456693,0.8607594936708861,0.7216494845360825,0.5599199959720551,1
fifa 16,Ps4,Sports,Ea Sports,Ea Canada,8.5,8.22,1.15,0.07,5.77,1.23,2015.0,17,23,167,84.0,48.0,0.4045275590551181,0.8227848101265823,0.4948453608247423,0.4898455971582438,1
the sims 3,Pc,Simulation,Electronic Arts,Ea Redwood Shores,8.5,7.96,1.01,0.0,6.46,0.5,2009.0,16,17,178,86.0,78.0,0.3917322834645669,0.8481012658227848,0.8041237113402062,0.5632854877872093,1
grand theft auto: liberty city stories,Psp,Action,Rockstar Games,Rockstar Leeds,8.8,7.72,2.9,0.24,2.83,1.74,2005.0,0,25,552,88.0,80.0,0.3799212598425197,0.8734177215189873,0.8247422680412371,0.5651509811436692,1
call of duty: advanced warfare,Ps4,Shooter,Activision,Sledgehammer Games,8.5,7.53,2.84,0.14,3.34,1.22,2014.0,15,23,23,81.0,57.0,0.3705708661417323,0.7848101265822784,0.5876288659793815,0.4869712551672265,1
call of duty: world at war,X360,Shooter,Activision,Treyarch,8.5,7.5,4.88,0.0,1.91,0.71,2008.0,15,35,23,84.0,79.0,0.3690944881889764,0.8227848101265823,0.8144329896907216,0.5484826618550536,1
battlefield 3,X360,Shooter,Electronic Arts,Dice,8.5,7.35,4.47,0.06,2.12,0.69,2011.0,15,35,178,89.0,77.0,0.3617125984251968,0.8860759493670886,0.7938144329896907,0.548392559707604,1
battlefield 1,Ps4,Shooter,Electronic Arts,Ea Dice,9.1,7.26,2.2,0.29,3.65,1.12,2016.0,15,23,178,88.0,74.0,0.3572834645669291,0.8734177215189873,0.7628865979381443,0.5361043864525417,1
battlefield 3,Ps3,Shooter,Electronic Arts,Dice,8.5,7.21,2.86,0.35,2.94,1.07,2011.0,15,22,178,89.0,77.0,0.35482283464566927,0.8860759493670886,0.7938144329896907,0.5442587014398875,1
just dance 4,Wii,Music,Ubisoft,Ubisoft,7.3,6.89,4.05,0.0,2.21,0.62,2012.0,8,31,685,77.0,80.0,0.33907480314960625,0.7341772151898734,0.8247422680412371,0.519757031178554,1
medal of honor: frontline,Ps2,Shooter,Electronic Arts,Ea Los Angeles,9.0,6.83,2.93,0.17,2.75,0.99,2002.0,15,21,178,88.0,82.0,0.3361220472440945,0.8734177215189873,0.845360824742268,0.5440260927598718,1
uncharted 2: among thieves,Ps3,Action,Sony Computer Entertainment,Naughty Dog,9.5,6.74,3.28,0.21,2.22,1.02,2009.0,0,22,585,96.0,88.0,0.3316929133858268,0.9746835443037974,0.9072164948453608,0.5720224033884059,1
call of duty 4: modern warfare,Ps3,Shooter,Activision,Infinity Ward,9.5,6.72,3.13,0.28,2.27,1.04,2007.0,15,22,23,94.0,85.0,0.3307086614173228,0.9493670886075949,0.8762886597938144,0.5599024250899864,1
fifa soccer 12,Ps3,Sports,Ea Sports,Ea Canada,9.2,6.65,0.84,0.11,4.33,1.37,2011.0,17,22,167,90.0,69.0,0.3272637795275591,0.8987341772151899,0.711340206185567,0.5090034458452057,1
fifa 14,Ps3,Sports,Ea Sports,Ea Canada,7.3,6.61,0.79,0.07,4.77,0.98,2013.0,17,22,167,84.0,51.0,0.3252952755905512,0.8227848101265823,0.5257731958762887,0.4500381858423902,1
red dead redemption,Ps3,Action,Rockstar Games,Rockstar San Diego,9.5,6.57,2.82,0.17,2.58,1.0,2011.0,0,22,552,95.0,89.0,0.32332677165354334,0.9620253164556962,0.9175257731958762,0.5676813037594495,1
red dead redemption,X360,Action,Rockstar Games,Rockstar San Diego,9.5,6.5,3.77,0.09,2.03,0.6,2010.0,0,35,552,95.0,89.0,0.3198818897637795,0.9620253164556962,0.9175257731958762,0.5656143746255912,1
assassin's creed iii,Ps3,Action-Adventure,Ubisoft,Ubisoft Montreal,8.8,6.5,2.65,0.16,2.61,1.08,2012.0,1,22,685,84.0,70.0,0.3198818897637795,0.8227848101265823,0.7216494845360825,0.4957592265112757,1
the elder scrolls v: skyrim,Ps3,Role-Playing,Bethesda Softworks,Bethesda Game Studios,9.0,6.49,2.57,0.25,2.68,0.99,2011.0,13,22,87,96.0,86.0,0.31938976377952755,0.9746835443037974,0.8865979381443299,0.5594858744493686,1
minecraft,Ps4,Misc,Sony Computer Entertainment,Mojang,9.4,6.33,1.89,0.35,3.13,0.96,2014.0,6,23,585,93.0,82.0,0.31151574803149606,0.9367088607594937,0.845360824742268,0.5387559841183887,1
